poll_time,window_end_epoch,secs_left,side,best_ask_price,best_ask_size,best_bid_price,best_bid_size,n_asks,n_bids,is_target_scenario
1788633712.7822323,1788633900,187.2,Up,0.51,223.07,0.5,633.5,49,50,False
1788633712.7822323,1788633900,187.2,Down,0.5,633.5,0.49,223.07,50,49,False
1788633716.090993,1788633900,183.9,Up,0.51,223.07,0.5,633.5,49,50,False
1788633716.090993,1788633900,183.9,Down,0.5,633.5,0.49,223.07,50,49,False
1788633719.261056,1788633900,180.7,Up,0.51,223.07,0.5,633.5,49,50,False
1788633719.261056,1788633900,180.7,Down,0.5,633.5,0.49,223.07,50,49,False
1788633722.5784554,1788633900,177.4,Up,0.51,223.07,0.5,633.5,49,50,False
1788633722.5784554,1788633900,177.4,Down,0.5,633.5,0.49,223.07,50,49,False
1788633725.8988092,1788633900,174.1,Up,0.51,219,0.5,633.5,49,50,False
1788633725.8988092,1788633900,174.1,Down,0.5,633.5,0.49,219,50,49,False
1788633729.144137,1788633900,170.9,Up,0.51,219,0.5,633.5,49,50,False
1788633729.144137,1788633900,170.9,Down,0.5,633.5,0.49,219,50,49,False
1788633732.4518473,1788633900,167.5,Up,0.51,219,0.5,633.5,49,50,False
1788633732.4518473,1788633900,167.5,Down,0.5,633.5,0.49,219,50,49,False
1788633735.7807934,1788633900,164.2,Up,0.51,219,0.5,633.5,49,50,False
1788633735.7807934,1788633900,164.2,Down,0.5,633.5,0.49,219,50,49,False
1788633739.0883694,1788633900,160.9,Up,0.51,219,0.5,633.5,49,50,False
1788633739.0883694,1788633900,160.9,Down,0.5,633.5,0.49,219,50,49,False
1788633742.3277767,1788633900,157.7,Up,0.51,219,0.5,633.5,49,50,False
1788633742.3277767,1788633900,157.7,Down,0.5,633.5,0.49,219,50,49,False
1788633745.542735,1788633900,154.5,Up,0.51,219,0.5,633.5,49,50,False
1788633745.542735,1788633900,154.5,Down,0.5,633.5,0.49,219,50,49,False
1788633748.7134423,1788633900,151.3,Up,0.51,219,0.5,603.5,49,50,False
1788633748.7134423,1788633900,151.3,Down,0.5,603.5,0.49,219,50,49,False
1788633751.9432447,1788633900,148.1,Up,0.51,219,0.5,603.5,49,50,False
1788633751.9432447,1788633900,148.1,Down,0.5,603.5,0.49,219,50,49,False
1788633755.1814232,1788633900,144.8,Up,0.51,169.98,0.5,603.5,49,50,False
1788633755.1814232,1788633900,144.8,Down,0.5,603.5,0.49,169.98,50,49,False
1788633758.4375353,1788633900,141.6,Up,0.51,149.98,0.5,603.5,49,50,False
1788633758.4375353,1788633900,141.6,Down,0.5,603.5,0.49,149.98,50,49,False
1788633761.7951863,1788633900,138.2,Up,0.51,149.98,0.5,683.5,49,50,False
1788633761.7951863,1788633900,138.2,Down,0.5,683.5,0.49,149.98,50,49,False
1788633765.065548,1788633900,134.9,Up,0.51,149.98,0.5,683.5,49,50,False
1788633765.065548,1788633900,134.9,Down,0.5,683.5,0.49,149.98,50,49,False
1788633768.4159093,1788633900,131.6,Up,0.51,149.98,0.5,683.5,49,50,False
1788633768.4159093,1788633900,131.6,Down,0.5,683.5,0.49,149.98,50,49,False
1788633771.652187,1788633900,128.3,Up,0.51,39,0.5,683.5,49,50,False
1788633771.652187,1788633900,128.3,Down,0.5,683.5,0.49,39,50,49,False
1788633774.8136182,1788633900,125.2,Up,0.51,32,0.5,683.5,49,50,False
1788633774.8136182,1788633900,125.2,Down,0.5,683.5,0.49,32,50,49,False
1788633778.0630774,1788633900,121.9,Up,0.51,32,0.5,681.5,49,50,False
1788633778.0630774,1788633900,121.9,Down,0.5,681.5,0.49,32,50,49,False
1788633781.3189943,1788633900,118.7,Up,0.51,32,0.5,681.5,49,50,False
1788633781.3189943,1788633900,118.7,Down,0.5,681.5,0.49,32,50,49,False
1788633784.6339724,1788633900,115.4,Up,0.51,32,0.5,681.5,49,50,False
1788633784.6339724,1788633900,115.4,Down,0.5,681.5,0.49,32,50,49,False
1788633787.959996,1788633900,112.0,Up,0.51,32,0.5,127,49,49,False
1788633787.959996,1788633900,112.0,Down,0.5,127,0.49,32,49,49,False
1788633791.2417345,1788633900,108.8,Up,0.51,32,0.5,127,49,49,False
1788633791.2417345,1788633900,108.8,Down,0.5,127,0.49,32,49,49,False
1788633794.5647733,1788633900,105.4,Up,0.51,13.14,0.5,127,49,49,False
1788633794.5647733,1788633900,105.4,Down,0.5,127,0.49,13.14,49,49,False
1788633797.882182,1788633900,102.1,Up,0.51,13.14,0.5,127,49,49,False
1788633797.882182,1788633900,102.1,Down,0.5,127,0.49,13.14,49,49,False
1788633801.2131765,1788633900,98.8,Up,0.51,13.14,0.5,127,49,49,False
1788633801.2131765,1788633900,98.8,Down,0.5,127,0.49,13.14,49,49,False
1788633804.5264049,1788633900,95.5,Up,0.51,13.14,0.5,127,49,49,False
